name,city,location,addressJibun,longitude,latitude,placeUrl,keywords,imageUrl,desc
가메오름,제주시,제주서부,제주특별자치도 제주시 애월읍 봉성리 산 124,126.3357021,33.36732924,http://place.map.kakao.com/10116894,"억새,전망",https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/ddae61fc-1e34-47b2-854d-3b97ffe1b76b.jpg,가메오름은 낮은 높이에서도 정상에서 한림의 비양도와 바다 등 아름다운 경치를 감상할 수 있어요.
가세오름,서귀포시,서귀포동부,제주특별자치도 서귀포시 표선면 토산리 산 5,126.7813191,33.33014143,http://place.map.kakao.com/10118902,"꽃,알오름,바다,전망",https://api.cdn.visitjeju.net/photomng/imgpath/202211/23/9347cc56-b97f-4d1b-af7d-f485f4b63f25.jpg,가세오름은 두 갈래 봉우리로 가위처럼 보여 이런 이름이 붙여졌어요. 덤불과 복잡한 탐방로가 있어 긴 바지를 입고 주의하세요!
개오름,서귀포시,서귀포동부,제주특별자치도 서귀포시 표선면 성읍리 2974,126.7718559,33.4225891,http://place.map.kakao.com/10620522,"알오름,동산,꽃",https://api.cdn.visitjeju.net/photomng/imgpath/202112/16/aa9a064a-2358-4ec6-a340-30bcafc9ae7f.JPG,"개오름은 개모양 또는 풍수지리에서 유래된 말굽형 기생화산이에요. 정상까지 갈 수 있지만, 목장 내 지정 코스만 이용해야 해요."
거문오름,제주시,제주동부,제주특별자치도 제주시 조천읍 선흘리 481,126.7147427,33.45692229,http://place.map.kakao.com/18489468,"세계유산,용암,동굴,트레킹",https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/e05943ea-8718-4891-bfdb-22ebf6008788.jpg,거문오름은 숲이 우거져 검게 보여 이런 이름이 붙여졌어요. 한라산 기슭에 이루어진 기생화산 중 하나에요.
군산,서귀포시,서귀포서부,제주특별자치도 서귀포시 안덕면 창천리 산 3-1,126.3699625,33.25313318,http://place.map.kakao.com/25186462,"일몰명소,진지동굴,서귀포대표",https://api.cdn.visitjeju.net/photomng/imgpath/202111/04/20b8b887-9d81-4631-b3ce-df5c7095ae2c.jpg,"군산은 제주 최대 화산쇄설성 오름이에요. 정상에서 한라산, 중문관광단지, 마라도, 산방산을 전망할 수 있으며, 동쪽 해안의 일출이 예쁘기로 유명해요."
다랑쉬오름,제주시,제주동부,제주특별자치도 제주시 구좌읍 세화리 산 6,126.8215359,33.47768586,http://place.map.kakao.com/25200772,"전망,성산일출봉,억새,바다",https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/21ead729-dd07-42e8-be6b-e272828c7317.jpg,다랑쉬오름은 둥근 분화구와 아름다운 경관으로 유명하면서 4·3사건의 아픔을 간직한 역사적 장소이기도 해요.
단산,서귀포시,서귀포서부,제주특별자치도 서귀포시 대정읍 인성리 21-2,126.2883335,33.24286074,http://place.map.kakao.com/8306005,"모노레일,관광,전망,패러글라이딩,전망대",https://api.cdn.visitjeju.net/photomng/imgpath/202112/06/0d0373ae-eb4c-4731-8961-09f28f38f39d.jpg,"단산은 박쥐 형상의 오름으로, 암벽 클라이밍이 가능하며 정상에서 한라산과 제주 남서부의 경관을 감상할 수 있어요."
새별오름,제주시,제주서부,제주특별자치도 제주시 애월읍 봉성리 산 59-8,126.3577307,33.36627759,http://place.map.kakao.com/25274725,"억새,전망,핑크뮬리,바다,일몰,축제",https://api.cdn.visitjeju.net/photomng/imgpath/201908/13/9368a3b5-922b-4c2b-9976-ce3c14abcf6b.jpg,"새별오름은 제주 서부의 대표 오름으로, 해발 519.3m이며 경치가 아름다워 인기 있는 오름 중 하나에요. 정상에서 서쪽 해변과 비양도를 볼 수 있어요!"
아부오름,제주시,제주동부,제주특별자치도 제주시 구좌읍 송당리 2263,126.777215,33.44858418,http://place.map.kakao.com/10599658,"전망,트레킹,바다,피크닉",https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/729e9473-9590-4923-aec0-e72a3fe7d18d.jpg,"아부오름은 송당마을 남쪽에 위치한 오름으로, 둥근 굼부리와 원형 삼나무숲이 특징이에요. 완만한 경사로 상대적으로 쉽게 오를 수 있어요."
안돌오름,제주시,제주동부,제주특별자치도 제주시 구좌읍 송당리 산 66-2,126.7558689,33.45783055,http://place.map.kakao.com/8428406,"트레킹,꽃,친구,캠핑",https://api.cdn.visitjeju.net/photomng/imgpath/202111/25/5a957495-48b1-4c3c-a9f6-6997c941db87.jpg,"안돌오름은 구좌읍에 위치한 말굽형 화구를 가진 오름이에요. 화구 안사면의 골에만 자연림이 우거져 있고, 나머지는 풀밭으로 덮여 있어요."
영천악,서귀포시,서귀포시,제주특별자치도 서귀포시 상효동 2364,126.6008224,33.29526677,http://place.map.kakao.com/11189551,"계곡,트레킹",https://api.cdn.visitjeju.net/photomng/imgpath/201908/09/ac350f52-6901-4973-bc41-13f073d7514b.jpg,"영천악은 울창한 숲을 감상할 수 있는 오름으로, 산책로가 잘 정비되어 있고, 정상에서 한라산 뷰를 볼 수 있어요."
용눈이오름,제주시,제주동부,제주특별자치도 제주시 구좌읍 종달리 산 28,126.832683,33.45988024,http://place.map.kakao.com/10626439,"전망,억새,일출,바다,일몰",https://api.cdn.visitjeju.net/photomng/imgpath/202110/21/411e919f-c409-4f52-903c-10310b3a0c27.jpg,"용눈이오름은 세 개의 분화구와 부드러운 능선을 가진 오름으로, 계절마다 새로운 매력을 가지고 있어요. 정상에서는 성산일출봉과 우도까지 볼 수 있어요."
웃세(족은)오름 ,제주시,제주서부,제주특별자치도 제주시 애월읍 광령리 산 183-6,126.5108391,33.36102374,http://place.map.kakao.com/8076005,"산행,전망대,꽃",https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/68cf14f3-16e9-48c3-8ce6-6f878d82ba93.jpg,"웃세오름은 한라산 영실등산 코스에 위치한 오름으로, 봄에는 철쭉과 진달래가 피고, 운이 좋으면 노루를 관찰할 수도 있어요!"
윗세오름,서귀포시,서귀포시,제주특별자치도 서귀포시 서호동 산 1-1,126.5210199,33.36073344,http://place.map.kakao.com/25338262,"등산,꽃,전망대,단풍",https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/b005742d-feb3-4814-9d81-dba9492289a5.jpg,"윗세오름은 한라산 인근에 위치한 가장 높은 오름으로, 어리목, 영실, 돈내코 코스로 등반 가능하며, 누운오름 아래 노루샘과 고원습지가 있어요."
이승이오름,서귀포시,서귀포동부,제주특별자치도 서귀포시 남원읍 신례리 산 2-4,126.622239,33.34014979,http://place.map.kakao.com/25342411,"트레킹,벚꽃,전망대,친구,나무숲,힐링",https://api.cdn.visitjeju.net/photomng/imgpath/202111/30/60ab34b3-5baf-4205-b47e-6fe020ffe1ec.JPG,"이승이오름은 울창한 숲과 말발굽 형태의 분화구를 가진 오름으로, 다양한 코스와 해그문이소 폭포가 있어요."
절물오름,제주시,제주시,제주특별자치도 제주시 봉개동 산 78-1,126.6267079,33.43388059,http://place.map.kakao.com/241119078,"휴양림,트레킹,전망대,꽃,약수터,가족",https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/f8f9787a-0011-458b-8079-26c045d8c2ea.jpg,절물오름은 절물자연휴양림에 위치한 오름으로. 아름다운 풍경을 즐길 수 있어요.
정물오름,제주시,제주서부,제주특별자치도 제주시 한림읍 금악리 산 52-1,126.3296255,33.33835789,http://place.map.kakao.com/25359013,"억새,전망,바다",https://api.cdn.visitjeju.net/photomng/imgpath/202111/16/08ca690e-d8b0-4c08-beaf-d6736ff02c50.JPG,"정물오름은 정물샘에서 유래한 이름으로, 깨끗한 물과 이시돌목장의 아름다운 풍경을 가지고 있어요. 정상에서 비양도와 한라산, 바다를 감상할 수 있어요."
큰바리메,제주시,제주서부,제주특별자치도 제주시 애월읍 어음리 산 21,126.3880198,33.37713081,http://place.map.kakao.com/7888119,"트레킹,전망",https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/1e389327-3c47-4656-a713-4b6af3dcf5c0.jpg,"바리미오름은 해발 763m, 원형 분화구를 가진 오름으로, 여성들의 밥그릇을 닮아 이름이 지어졌어요. 서쪽은 목장, 나머지는 숲으로 덮여 있는게 특징이에요."
토산봉,서귀포시,서귀포동부,제주특별자치도 서귀포시 표선면 토산리 산 13,126.7742727,33.32200787,http://place.map.kakao.com/8108616,"봉수대,전망대,산책,바다,전망",https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/2bc1a3db-372b-4d69-9ebc-9c22358c46a3.jpg,"토산봉은 복합형 화산체로, 봉수대가 있어 망오름이라고 불리기도 해요. 해송 숲으로 덮여 있으며, 두 개의 말굽형 화구가 특징이에요."
